0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
7700 | glycolipid | molecule | single bond | chemical bond 
7701 | glycolipid | organic molecule | single bond | covalent bond 
7701 | glycolipid | organic molecule | single bond | chemical bond 
7702 | glycolipid | amphipathic molecule | single bond | covalent bond 
7703 | glycolipid | lipid | single bond | covalent bond 
7704 | polar substance | hydrophilic substance | plant cell | walled cell 
7704 | polar substance | hydrophilic substance | plant cell | eukaryotic cell 
7705 | Cellular respiration | Catabolic pathway | neutral solution | aqueous solution 
7706 | Cellular respiration | Aerobic metabolism | neutral solution | aqueous solution 
7707 | hydroxide ion | anion | Phagocytosis | Endocytosis 
7708 | hydroxide ion | complex ion | Phagocytosis | Endocytosis 
7709 | phosphate group | functional group | pyruvic acid | carboxylic acid 
7710 | mitochondrion | organelle | alpha tubulin | polypeptide 
7710 | mitochondrion | organelle | alpha tubulin | organic molecule 
7710 | mitochondrion | organelle | alpha tubulin | polymer 
7711 | desmosome | intercellular junction | Signal transduction with testosterone | Signal transduction 
7712 | aqueous salt solution | solution | ethyl alcohol | alcohol 
7712 | aqueous salt solution | solution | ethyl alcohol | organic molecule 
7713 | aqueous salt solution | aqueous solution | ethyl alcohol | alcohol 
7714 | hydrocarbon molecule | organic molecule | plasmodesmata | intercellular junction 
7715 | dynein | motor protein | transport membrane protein | transmembrane protein 
7715 | dynein | motor protein | transport membrane protein | integral protein 
7716 | protein kinase A | protein kinase | fat molecule | triglyceride 
7716 | protein kinase A | protein kinase | fat molecule | lipid 
7717 | basic amino acid | hydrophilic amino acid | cytosine | pyrimidine 
7717 | basic amino acid | hydrophilic amino acid | cytosine | nitrogenous base 
7718 | anion | ion | Alcohol fermentation | Fermentation 
7719 | isomerase | protein | cholesterol | amphipathic molecule 
7719 | isomerase | protein | cholesterol | steroid 
7719 | isomerase | protein | cholesterol | molecule 
7719 | isomerase | protein | cholesterol | lipid 
7720 | isomerase | enzyme | cholesterol | amphipathic molecule 
7720 | isomerase | enzyme | cholesterol | steroid 
7720 | isomerase | enzyme | cholesterol | molecule 
7720 | isomerase | enzyme | cholesterol | lipid 
7721 | isomerase | protein enzyme | cholesterol | amphipathic molecule 
7721 | isomerase | protein enzyme | cholesterol | steroid 
7722 | adenine | purine | hydrophilic compound | compound 
7723 | Inhibition | Regulation | carboxyl group | functional group 
7724 | van der waals interaction | chemical bond | uniporter | transport membrane protein 
7724 | van der waals interaction | chemical bond | uniporter | transmembrane protein 
7725 | actin | protein | globular protein | water soluble protein 
7725 | actin | protein | globular protein | protein 
7725 | actin | protein | globular protein | organic molecule 
7725 | actin | protein | globular protein | polymer 
7726 | actin | water soluble protein | globular protein | water soluble protein 
7726 | actin | water soluble protein | globular protein | protein 
7727 | actin | globular protein | globular protein | water soluble protein 
7728 | C4 plant | plant | Signal transduction with Ca2 plus | Signal transduction with second messenger 
7728 | C4 plant | plant | Signal transduction with Ca2 plus | Signal transduction 
7729 | polar substance | hydrophilic substance | electromagnetic energy | radiation 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Alcohol fermentation 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Fermentation 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Anaerobic metabolism 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Catabolic pathway 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Metabolism 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Exergonic reaction 
7730 | G-protein | molecule | Alcohol fermentation by yeast | Metabolic pathway 
7731 | G-protein | polymer | Alcohol fermentation by yeast | Alcohol fermentation 
7731 | G-protein | polymer | Alcohol fermentation by yeast | Fermentation 
7731 | G-protein | polymer | Alcohol fermentation by yeast | Anaerobic metabolism 
7731 | G-protein | polymer | Alcohol fermentation by yeast | Catabolic pathway 
7732 | G-protein | organic molecule | Alcohol fermentation by yeast | Alcohol fermentation 
7732 | G-protein | organic molecule | Alcohol fermentation by yeast | Fermentation 
7732 | G-protein | organic molecule | Alcohol fermentation by yeast | Anaerobic metabolism 
7732 | G-protein | organic molecule | Alcohol fermentation by yeast | Catabolic pathway 
7733 | G-protein | protein | Alcohol fermentation by yeast | Alcohol fermentation 
7733 | G-protein | protein | Alcohol fermentation by yeast | Fermentation 
7734 | Cell signaling with intracellular receptor | Cell signaling | ester linkage | single bond 
7734 | Cell signaling with intracellular receptor | Cell signaling | ester linkage | polar covalent bond 
7734 | Cell signaling with intracellular receptor | Cell signaling | ester linkage | covalent bond 
7735 | pentose | monosaccharide | isotope | atom 
7736 | polysaccharide | organic molecule | carbohydrate | organic molecule 
7736 | polysaccharide | organic molecule | carbohydrate | molecule 
7737 | polysaccharide | polymer | carbohydrate | organic molecule 
7738 | polysaccharide | carbohydrate | carbohydrate | organic molecule 
7739 | microfilament | molecule | aquaporin | channel protein 
7739 | microfilament | molecule | aquaporin | transport membrane protein 
7739 | microfilament | molecule | aquaporin | transmembrane protein 
7739 | microfilament | molecule | aquaporin | integral protein 
7740 | microfilament | polymer | aquaporin | channel protein 
7740 | microfilament | polymer | aquaporin | transport membrane protein 
7740 | microfilament | polymer | aquaporin | transmembrane protein 
7741 | microfilament | organic molecule | aquaporin | channel protein 
7741 | microfilament | organic molecule | aquaporin | transport membrane protein 
7741 | microfilament | organic molecule | aquaporin | transmembrane protein 
7742 | microfilament | protein | aquaporin | channel protein 
7742 | microfilament | protein | aquaporin | transport membrane protein 
7743 | phosphatidylcholine | phospholipid | enthalpy | energy 
7744 | triose | monosaccharide | gap junction | intercellular junction 
7745 | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor | weak acid | acid 
7746 | Transmission electron microscopy | Electron microscopy | nucleic acid | organic molecule 
7746 | Transmission electron microscopy | Electron microscopy | nucleic acid | polymer 
7747 | photosystem I | photosystem | isotonic solution | aqueous solution 
7748 | carboxyl group | functional group | water molecule | polar molecule 
7749 | protein | molecule | cholesterol | amphipathic molecule 
7749 | protein | molecule | cholesterol | steroid 
7749 | protein | molecule | cholesterol | molecule 
7749 | protein | molecule | cholesterol | lipid 
7750 | protein | polymer | cholesterol | amphipathic molecule 
7750 | protein | polymer | cholesterol | steroid 
7751 | protein | organic molecule | cholesterol | amphipathic molecule 
7751 | protein | organic molecule | cholesterol | steroid 
7752 | glutamic acid | acidic amino acid | strong base | base 
7753 | hemoglobin | globular protein | photoautotroph | autotroph 
7754 | alpha ketoglutarate | organic molecule | Anaerobic respiration | Catabolism 
7754 | alpha ketoglutarate | organic molecule | Anaerobic respiration | Exergonic process 
7754 | alpha ketoglutarate | organic molecule | Anaerobic respiration | Metabolism 
7755 | proton pump | carrier protein | glycolipid | lipid 
7755 | proton pump | carrier protein | glycolipid | amphipathic molecule 
7756 | phosphofructokinase | allosteric enzyme | complex ion | ion 
7757 | GTP | nucleotide | cis trans isomer | isomer 
7757 | GTP | nucleotide | cis trans isomer | molecule 
7758 | wax | lipid | transmembrane protein | integral protein 
7759 | Light microscopy | Microscopy | protein | organic molecule 
7759 | Light microscopy | Microscopy | protein | polymer 
7760 | RNA | polymer | proton-motive force | potential energy 
7760 | RNA | polymer | proton-motive force | energy 
7761 | RNA | organic molecule | proton-motive force | potential energy 
7761 | RNA | organic molecule | proton-motive force | energy 
7762 | RNA | nucleic acid | proton-motive force | potential energy 
7763 | Protein denaturation by heat | Protein denaturation | water molecule | polar molecule 
7764 | law of thermodynamics | scientific law | ester linkage | single bond 
7764 | law of thermodynamics | scientific law | ester linkage | polar covalent bond 
7765 | Reverse reaction | Chemical reaction | Photorespiration | Metabolic pathway 
7766 | fluorine atom | atom | cytochrome | protein 
7766 | fluorine atom | atom | cytochrome | organic molecule 
7766 | fluorine atom | atom | cytochrome | polymer 
7767 | basic solution | aqueous solution | Protein kinase cascade | Cascade 
7768 | Citric acid cycle | Catabolic pathway | Protein denaturation by denaturation agent | Protein denaturation 
7769 | electromagnetic spectrum | spectrum | nucleus | organelle 
7770 | ribonuclease | protein | amyloplast | plastid 
7770 | ribonuclease | protein | amyloplast | organelle 
7770 | ribonuclease | protein | amyloplast | cellular structure 
7771 | ribonuclease | enzyme | amyloplast | plastid 
7771 | ribonuclease | enzyme | amyloplast | organelle 
7771 | ribonuclease | enzyme | amyloplast | cellular structure 
7772 | ribonuclease | protein enzyme | amyloplast | plastid 
7772 | ribonuclease | protein enzyme | amyloplast | organelle 
7773 | pore complex | protein complex | cell wall | cellular structure 
7774 | microtubule organizing center | cellular structure | sugar | carbohydrate 
7775 | Cell signaling with Ca2 plus and IP3 | Cell signaling with plasma membrane receptor | cisterna | cellular structure 
7776 | phosphorus atom | atom | structural polysaccharide | polysaccharide 
7776 | phosphorus atom | atom | structural polysaccharide | carbohydrate 
7776 | phosphorus atom | atom | structural polysaccharide | polymer 
7777 | gap junction | intercellular junction | transport vesicle | vesicle 
7778 | chemoautotroph | autotroph | wax | lipid 
7779 | phosphate bond | covalent bond | plastoquinone | organic molecule 
7779 | phosphate bond | covalent bond | plastoquinone | molecule 
7780 | phosphate bond | single bond | plastoquinone | organic molecule 
7781 | Inactivation of cAMP | Exergonic reaction | vacuole | organelle 
7781 | Inactivation of cAMP | Exergonic reaction | vacuole | vesicle 
7781 | Inactivation of cAMP | Exergonic reaction | vacuole | cellular structure 
7782 | Inactivation of cAMP | Hydrolysis | vacuole | organelle 
7782 | Inactivation of cAMP | Hydrolysis | vacuole | vesicle 
