0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
2987 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
2988 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2989 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
2990 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
2991 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2992 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
2993 | stroma | chloroplast | carrier protein | phospholipid bilayer 
2994 | carrier protein | phospholipid bilayer | stroma | chloroplast 
2995 | transport membrane protein | phospholipid bilayer | hydration shell | water 
2996 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
2997 | desmosome | phospholipid bilayer | stroma | chloroplast 
2998 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
2999 | aquaporin | phospholipid bilayer | stroma | chloroplast 
3000 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3001 | stroma | chloroplast | hydration shell | water 
3002 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
3003 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3004 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
3005 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
3006 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
3007 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
3008 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3009 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
3010 | ATP synthase | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3011 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
3012 | stroma | chloroplast | desmosome | phospholipid bilayer 
3013 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
3014 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
3015 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
3016 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3017 | microfibril | transport vesicle | hydration shell | water 
3018 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
3019 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
3020 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
3021 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
3022 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3023 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
3024 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3025 | integral protein | phospholipid bilayer | hydration shell | water 
3026 | integrin | phospholipid bilayer | stroma | chloroplast 
3027 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
3028 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3029 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
3030 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3031 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
3032 | tight junction | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3033 | hydration shell | water | desmosome | phospholipid bilayer 
3034 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3035 | carrier protein | phospholipid bilayer | stroma | chloroplast 
3036 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3037 | stroma | chloroplast | integral protein | phospholipid bilayer 
3038 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3039 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3040 | ATP synthase | phospholipid bilayer | stroma | chloroplast 
3041 | tight junction | phospholipid bilayer | integrin | phospholipid bilayer 
3042 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
3043 | integrin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3044 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
3045 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
3046 | hydration shell | water | integrin | phospholipid bilayer 
3047 | ATP synthase | phospholipid bilayer | microfibril | transport vesicle 
3048 | integrin | phospholipid bilayer | hydration shell | water 
3049 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3050 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
3051 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3052 | gated Channel | phospholipid bilayer | stroma | chloroplast 
3053 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
3054 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3055 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
3056 | tight junction | phospholipid bilayer | hydration shell | water 
3057 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
3058 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
3059 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
3060 | stroma | chloroplast | integral protein | phospholipid bilayer 
3061 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
3062 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
3063 | desmosome | phospholipid bilayer | tight junction | phospholipid bilayer 
3064 | carrier protein | phospholipid bilayer | stroma | chloroplast 
3065 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
3066 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3067 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
3068 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
3069 | ATP synthase | phospholipid bilayer | hydration shell | water 
3070 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3071 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
3072 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
3073 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
3074 | hydration shell | water | carrier protein | phospholipid bilayer 
3075 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
3076 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3077 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
3078 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3079 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
3080 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
3081 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3082 | sodium-potassium pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3083 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3084 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3085 | integral protein | phospholipid bilayer | hydration shell | water 
3086 | desmosome | phospholipid bilayer | hydration shell | water 
3087 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
3088 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
3089 | ATP synthase | phospholipid bilayer | hydration shell | water 
3090 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
3091 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
3092 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
3093 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
3094 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
3095 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
3096 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
3097 | hydration shell | water | integral protein | phospholipid bilayer 
3098 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3099 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
3100 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
3101 | ATP synthase | phospholipid bilayer | microfibril | transport vesicle 
3102 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
3103 | sodium-potassium pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3104 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
3105 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
3106 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
3107 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
3108 | ATP synthase | phospholipid bilayer | hydration shell | water 
3109 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
3110 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
3111 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
3112 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3113 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
3114 | ATP synthase | phospholipid bilayer | stroma | chloroplast 
3115 | microfibril | transport vesicle | hydration shell | water 
3116 | stroma | chloroplast | desmosome | phospholipid bilayer 
3117 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
3118 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
3119 | microfibril | transport vesicle | microfibril | transport vesicle 
3120 | aquaporin | phospholipid bilayer | hydration shell | water 
3121 | hydration shell | water | gated Channel | phospholipid bilayer 
3122 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
3123 | hydration shell | water | ATP synthase | phospholipid bilayer 
3124 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
3125 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
3126 | ATP synthase | phospholipid bilayer | microfibril | transport vesicle 
3127 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
3128 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
3129 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
3130 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
3131 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
3132 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
3133 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
3134 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
3135 | microfibril | transport vesicle | microfibril | transport vesicle 
3136 | gated Channel | phospholipid bilayer | microfibril | transport vesicle 
3137 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
3138 | integral protein | phospholipid bilayer | hydration shell | water 
